timestamp_unix,timestamp_iso,elapsed_sec,pid,pid_alive,rss_mb,vsz_mb,waiting_queue_size,running_batch_size,prefill_decode_size,req_to_token_pool_used,available_kv_tokens,memory_kvcache,internal_state_count,server_info_ok,server_info_status,server_info_error,metrics_ok,metrics_status,metrics_error
1771036510.020314,2026-02-14T02:35:10.020314+00:00,4530.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036540.019498,2026-02-14T02:35:40.019498+00:00,4560.0,824178,True,356.312,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036570.020234,2026-02-14T02:36:10.020234+00:00,4590.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036600.019962,2026-02-14T02:36:40.019962+00:00,4620.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036630.01963,2026-02-14T02:37:10.019630+00:00,4650.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036660.019752,2026-02-14T02:37:40.019752+00:00,4680.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036690.019776,2026-02-14T02:38:10.019776+00:00,4710.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036720.019585,2026-02-14T02:38:40.019585+00:00,4740.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036750.019469,2026-02-14T02:39:10.019469+00:00,4770.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036780.02338,2026-02-14T02:39:40.023380+00:00,4800.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036810.019625,2026-02-14T02:40:10.019625+00:00,4830.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036840.019758,2026-02-14T02:40:40.019758+00:00,4860.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036870.019633,2026-02-14T02:41:10.019633+00:00,4890.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036900.019998,2026-02-14T02:41:40.019998+00:00,4920.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036930.019701,2026-02-14T02:42:10.019701+00:00,4950.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036960.020475,2026-02-14T02:42:40.020475+00:00,4980.0,824178,True,356.105,4230.535,8,0,8,4,192128,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771036990.023589,2026-02-14T02:43:10.023589+00:00,5010.0,824178,True,356.105,4230.535,0,0,0,4,192128,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037020.020176,2026-02-14T02:43:40.020176+00:00,5040.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037050.021853,2026-02-14T02:44:10.021853+00:00,5070.0,824178,True,356.105,4230.535,2,0,2,10,191744,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037080.019551,2026-02-14T02:44:40.019551+00:00,5100.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037110.019428,2026-02-14T02:45:10.019428+00:00,5130.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037140.019445,2026-02-14T02:45:40.019445+00:00,5160.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037170.019675,2026-02-14T02:46:10.019675+00:00,5190.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037200.019328,2026-02-14T02:46:40.019328+00:00,5220.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037230.019556,2026-02-14T02:47:10.019556+00:00,5250.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037260.01958,2026-02-14T02:47:40.019580+00:00,5280.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
